"","Artist","Track","count","Track_no_brackets","artist_first_word","artist_last_word","artist_lower","artist_no_featuring_lower","track_lower","track_lower_no_brackets","track_lower_no_schar","track_lower_no_brackets_schar_ws","artist_mbid","artist_lower_no_brackets","artist_lower_no_brackets_schar","artist_lower_no_brackets_schar_ws"
"84","Backstreet Boys","All I Have To Give",21,"All I Have To Give","Backstreet","Boys","backstreet boys","backstreet boys","all i have to give","all i have to give","all i have to give","allihavetogive","2f569e60-0a1b-4fb9-95a4-3dc1525d1aad","backstreet boys","backstreetboys","backstreetboys"
"85","Backstreet Boys","Drowning",20,"Drowning","Backstreet","Boys","backstreet boys","backstreet boys","drowning","drowning","drowning","drowning","2f569e60-0a1b-4fb9-95a4-3dc1525d1aad","backstreet boys","backstreetboys","backstreetboys"
"86","Backstreet Boys","I Want It That Way",31,"I Want It That Way","Backstreet","Boys","backstreet boys","backstreet boys","i want it that way","i want it that way","i want it that way","iwantitthatway","2f569e60-0a1b-4fb9-95a4-3dc1525d1aad","backstreet boys","backstreetboys","backstreetboys"
"87","Backstreet Boys","Larger Than Life",19,"Larger Than Life","Backstreet","Boys","backstreet boys","backstreet boys","larger than life","larger than life","larger than life","largerthanlife","2f569e60-0a1b-4fb9-95a4-3dc1525d1aad","backstreet boys","backstreetboys","backstreetboys"
"88","Backstreet Boys","More Than That",20,"More Than That","Backstreet","Boys","backstreet boys","backstreet boys","more than that","more than that","more than that","morethanthat","2f569e60-0a1b-4fb9-95a4-3dc1525d1aad","backstreet boys","backstreetboys","backstreetboys"
"89","Backstreet Boys","Shape Of My Heart",20,"Shape Of My Heart","Backstreet","Boys","backstreet boys","backstreet boys","shape of my heart","shape of my heart","shape of my heart","shapeofmyheart","2f569e60-0a1b-4fb9-95a4-3dc1525d1aad","backstreet boys","backstreetboys","backstreetboys"
"90","Backstreet Boys","Show Me The Meaning Of Being Lonely",24,"Show Me The Meaning Of Being Lonely","Backstreet","Boys","backstreet boys","backstreet boys","show me the meaning of being lonely","show me the meaning of being lonely","show me the meaning of being lonely","showmethemeaningofbeinglonely","2f569e60-0a1b-4fb9-95a4-3dc1525d1aad","backstreet boys","backstreetboys","backstreetboys"
"91","Backstreet Boys","The Call",6,"The Call","Backstreet","Boys","backstreet boys","backstreet boys","the call","the call","the call","thecall","2f569e60-0a1b-4fb9-95a4-3dc1525d1aad","backstreet boys","backstreetboys","backstreetboys"
"92","Bad Boy's Da Band","Bad Boy This Bad Boy That",9,"Bad Boy This Bad Boy That","Bad","Band","bad boy's da band","bad boy's da band","bad boy this bad boy that","bad boy this bad boy that","bad boy this bad boy that","badboythisbadboythat",NA,"bad boy's da band","badboysdaband","badboysdaband"
"93","Barenaked Ladies","Another Postcard (Chimps)",15,"Another Postcard ","Barenaked","Ladies","barenaked ladies","barenaked ladies","another postcard (chimps)","another postcard ","another postcard ","anotherpostcard","86e736b4-93e2-40ff-9e1c-fb7c63fef5f6","barenaked ladies","barenakedladies","barenakedladies"
"94","Barenaked Ladies","It's All Been Done",11,"It's All Been Done","Barenaked","Ladies","barenaked ladies","barenaked ladies","it's all been done","it's all been done","it s all been done","itsallbeendone","86e736b4-93e2-40ff-9e1c-fb7c63fef5f6","barenaked ladies","barenakedladies","barenakedladies"
"95","Barenaked Ladies","One Week",7,"One Week","Barenaked","Ladies","barenaked ladies","barenaked ladies","one week","one week","one week","oneweek","86e736b4-93e2-40ff-9e1c-fb7c63fef5f6","barenaked ladies","barenakedladies","barenakedladies"
"96","Barenaked Ladies","Pinch Me",21,"Pinch Me","Barenaked","Ladies","barenaked ladies","barenaked ladies","pinch me","pinch me","pinch me","pinchme","86e736b4-93e2-40ff-9e1c-fb7c63fef5f6","barenaked ladies","barenakedladies","barenakedladies"
"97","Barenaked Ladies","Too Little Too Late",4,"Too Little Too Late","Barenaked","Ladies","barenaked ladies","barenaked ladies","too little too late","too little too late","too little too late","toolittletoolate","86e736b4-93e2-40ff-9e1c-fb7c63fef5f6","barenaked ladies","barenakedladies","barenakedladies"
"98","Beanie Sigel & Freeway","Roc The Mic",19,"Roc The Mic","Beanie","Freeway","beanie sigel & freeway","beanie sigel","roc the mic","roc the mic","roc the mic","rocthemic","b544133a-b262-451e-84b6-7bea2e61ce60","beanie sigel & freeway","beaniesigelfreeway","beaniesigelfreeway"
"99","Beastie Boys","Ch-Check It Out",12,"Ch-Check It Out","Beastie","Boys","beastie boys","beastie boys","ch-check it out","ch-check it out","ch check it out","chcheckitout","9beb62b2-88db-4cea-801e-162cd344ee53","beastie boys","beastieboys","beastieboys"
"100","Beenie Man","King Of The Dancehall",12,"King Of The Dancehall","Beenie","Man","beenie man","beenie man","king of the dancehall","king of the dancehall","king of the dancehall","kingofthedancehall","0d85b9f2-802d-48bb-aa85-6a9668869053","beenie man","beenieman","beenieman"
"101","Beenie Man Featuring Janet","Feel It Boy",12,"Feel It Boy","Beenie","Janet","beenie man featuring janet","beenie man","feel it boy","feel it boy","feel it boy","feelitboy","0d85b9f2-802d-48bb-aa85-6a9668869053","beenie man featuring janet","beeniemanfeaturingjanet","beeniemanfeaturingjanet"
"102","Beenie Man Featuring Ms. Thing","Dude",26,"Dude","Beenie","Thing","beenie man featuring ms. thing","beenie man","dude","dude","dude","dude","0d85b9f2-802d-48bb-aa85-6a9668869053","beenie man featuring ms. thing","beeniemanfeaturingmsthing","beeniemanfeaturingmsthing"
"103","Big & Rich","Save A Horse (Ride A Cowboy)",9,"Save A Horse ","Big","Rich","big & rich","big","save a horse (ride a cowboy)","save a horse ","save a horse ","saveahorse","89ad4ac3-39f7-470e-963a-56509c546377","big & rich","bigrich","bigrich"
