"","Artist","Track","count","Track_no_brackets","artist_first_word","artist_last_word","artist_lower","artist_no_featuring_lower","track_lower","track_lower_no_brackets","track_lower_no_schar","track_lower_no_brackets_schar_ws","artist mbid"
"211","M.V.P. (Most Valuable Playas) Featuring Stagga Lee","Roc Ya Body ""Mic Check 1,2""",8,"Roc Ya Body ""Mic Check 1,2""","M","Lee","m.v.p. (most valuable playas) featuring stagga lee","m.v.p. (most valuable playas)","roc ya body ""mic check 1,2""","roc ya body ""mic check 1,2""","roc ya body  mic check 1 2 ","rocyabodymiccheck12",NA
"212","Marc Anthony","I've Got You",14,"I've Got You","Marc","Anthony","marc anthony","marc anthony","i've got you","i've got you","i ve got you","ivegotyou",NA
"213","Marc Anthony","I Need To Know",40,"I Need To Know","Marc","Anthony","marc anthony","marc anthony","i need to know","i need to know","i need to know","ineedtoknow",NA
"214","Marc Anthony","My Baby You",20,"My Baby You","Marc","Anthony","marc anthony","marc anthony","my baby you","my baby you","my baby you","mybabyyou",NA
"215","Marc Anthony","You Sang To Me",32,"You Sang To Me","Marc","Anthony","marc anthony","marc anthony","you sang to me","you sang to me","you sang to me","yousangtome",NA
"216","Mario","Braid My Hair",8,"Braid My Hair","Mario","Mario","mario","mario","braid my hair","braid my hair","braid my hair","braidmyhair","60d7fdfc-2cd0-47e0-8422-7d2989e523c3"
"217","Mario","Just A Friend 2002",21,"Just A Friend 2002","Mario","Mario","mario","mario","just a friend 2002","just a friend 2002","just a friend 2002","justafriend2002","60d7fdfc-2cd0-47e0-8422-7d2989e523c3"
"218","Mario","Let Me Love You",10,"Let Me Love You","Mario","Mario","mario","mario","let me love you","let me love you","let me love you","letmeloveyou","60d7fdfc-2cd0-47e0-8422-7d2989e523c3"
"219","Maroon 5","Harder To Breathe",22,"Harder To Breathe","Maroon","5","maroon 5","maroon 5","harder to breathe","harder to breathe","harder to breathe","hardertobreathe","0407a14a-8430-489d-8c26-e6a328bd93d4"
"220","Maroon 5","She Will Be Loved",23,"She Will Be Loved","Maroon","5","maroon 5","maroon 5","she will be loved","she will be loved","she will be loved","shewillbeloved","0407a14a-8430-489d-8c26-e6a328bd93d4"
