ISRC,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
GBAHK9500187,(You To Be) Be Happy (feat. The Notorious B.I.G.),R. Kelly,0.861,0.257,5,-10.913,0,0.19,0.0291,0.0,0.0773,0.74,91.669,audio_features,764KVX6JBhL0P1CvBzzaHz,spotify:track:764KVX6JBhL0P1CvBzzaHz,https://api.spotify.com/v1/tracks/764KVX6JBhL0P1CvBzzaHz,https://api.spotify.com/v1/audio-analysis/764KVX6JBhL0P1CvBzzaHz,276493,4
USUM71116427,No Condition,Mary J. Blige,0.466,0.686,8,-5.497,0,0.0701,0.129,0.0,0.214,0.206,168.126,audio_features,7imd08qqZyNZPF5TjrObE3,spotify:track:7imd08qqZyNZPF5TjrObE3,https://api.spotify.com/v1/tracks/7imd08qqZyNZPF5TjrObE3,https://api.spotify.com/v1/audio-analysis/7imd08qqZyNZPF5TjrObE3,267040,4
USSM19605549,Free,Train,0.525,0.632,7,-6.733,1,0.04,0.0499,0.00123,0.146,0.549,90.681,audio_features,52c6dblWeVKfwixyo8zOSd,spotify:track:52c6dblWeVKfwixyo8zOSd,https://api.spotify.com/v1/tracks/52c6dblWeVKfwixyo8zOSd,https://api.spotify.com/v1/audio-analysis/52c6dblWeVKfwixyo8zOSd,237600,4
USSJ10900253,Rock Star,Everclear,0.533,0.994,5,-2.977,0,0.107,0.0046,0.00744,0.356,0.516,124.548,audio_features,2KPRbewG7pcJaJbNt3u68C,spotify:track:2KPRbewG7pcJaJbNt3u68C,https://api.spotify.com/v1/tracks/2KPRbewG7pcJaJbNt3u68C,https://api.spotify.com/v1/audio-analysis/2KPRbewG7pcJaJbNt3u68C,199640,4
GBUM71501202,I Got You,Leona Lewis,0.613,0.805,5,-2.714,1,0.0436,0.00914,0.0066,0.151,0.167,123.892,audio_features,03OaBJ2zyZwlFv2DqHkeYi,spotify:track:03OaBJ2zyZwlFv2DqHkeYi,https://api.spotify.com/v1/tracks/03OaBJ2zyZwlFv2DqHkeYi,https://api.spotify.com/v1/audio-analysis/03OaBJ2zyZwlFv2DqHkeYi,181004,4
USBHD0901281,Rotate,Capone-N-Noreaga,0.502,0.907,0,-2.622,1,0.17,0.313,0.0,0.115,0.675,101.883,audio_features,7uDpEjACJival9hGDOVZrR,spotify:track:7uDpEjACJival9hGDOVZrR,https://api.spotify.com/v1/tracks/7uDpEjACJival9hGDOVZrR,https://api.spotify.com/v1/audio-analysis/7uDpEjACJival9hGDOVZrR,254173,4
GBCCS1000166,On The Way - Remastered 2011,Paul McCartney,0.606,0.417,10,-9.112,0,0.0318,0.247,0.0559,0.37,0.713,86.78,audio_features,4ygpQjXE9GfNe6IwseygSM,spotify:track:4ygpQjXE9GfNe6IwseygSM,https://api.spotify.com/v1/tracks/4ygpQjXE9GfNe6IwseygSM,https://api.spotify.com/v1/audio-analysis/4ygpQjXE9GfNe6IwseygSM,219067,4
GBCCS1000193,On The Way - Remastered 2011,Paul McCartney,0.606,0.417,10,-9.112,0,0.0318,0.247,0.0559,0.37,0.713,86.78,audio_features,04NwYtnKWEqP294zHkyuFW,spotify:track:04NwYtnKWEqP294zHkyuFW,https://api.spotify.com/v1/tracks/04NwYtnKWEqP294zHkyuFW,https://api.spotify.com/v1/audio-analysis/04NwYtnKWEqP294zHkyuFW,219067,4
USUM71107647,"I Need Your Lovin' - 1981/Live In Long Beach, CA",Teena Marie,0.503,0.867,11,-6.82,0,0.131,0.0259,4.59e-06,0.809,0.539,116.818,audio_features,6Pd2bTmslqLFL4nhMB4F1j,spotify:track:6Pd2bTmslqLFL4nhMB4F1j,https://api.spotify.com/v1/tracks/6Pd2bTmslqLFL4nhMB4F1j,https://api.spotify.com/v1/audio-analysis/6Pd2bTmslqLFL4nhMB4F1j,331400,4
USUYG1268695,Turn Me On (feat. Chris Brown),Snoop Dogg,0.765,0.861,1,-5.306,1,0.23,0.0799,0.0,0.0881,0.911,114.139,audio_features,5pzN5RD53nekUBaJ7a4fi4,spotify:track:5pzN5RD53nekUBaJ7a4fi4,https://api.spotify.com/v1/tracks/5pzN5RD53nekUBaJ7a4fi4,https://api.spotify.com/v1/audio-analysis/5pzN5RD53nekUBaJ7a4fi4,197687,4
