danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,ISRC
0.659,0.935,5,-7.36,1,0.082,0.00582,0.0256,0.151,0.353,128.455,audio_features,77CFeKSnC6NIQGO5lfwLcq,spotify:track:77CFeKSnC6NIQGO5lfwLcq,https://api.spotify.com/v1/tracks/77CFeKSnC6NIQGO5lfwLcq,https://api.spotify.com/v1/audio-analysis/77CFeKSnC6NIQGO5lfwLcq,308733,4,USSM19803851
0.641,0.437,2,-15.217,1,0.0278,0.915,0.452,0.174,0.811,97.806,audio_features,45Dhs5vXunU3sM4o2gr5VV,spotify:track:45Dhs5vXunU3sM4o2gr5VV,https://api.spotify.com/v1/tracks/45Dhs5vXunU3sM4o2gr5VV,https://api.spotify.com/v1/audio-analysis/45Dhs5vXunU3sM4o2gr5VV,86707,4,USSM19803852
0.365,0.765,9,-5.781,1,0.0564,0.000263,0.24,0.269,0.556,97.935,audio_features,27MWlouE3EXEJUZbiAS6tk,spotify:track:27MWlouE3EXEJUZbiAS6tk,https://api.spotify.com/v1/tracks/27MWlouE3EXEJUZbiAS6tk,https://api.spotify.com/v1/audio-analysis/27MWlouE3EXEJUZbiAS6tk,91233,4,JPVI09811060
0.307,0.921,1,-7.852,1,0.15,0.00186,0.894,0.396,0.501,159.753,audio_features,4sAC0qvCUH15Md7hz7QFb7,spotify:track:4sAC0qvCUH15Md7hz7QFb7,https://api.spotify.com/v1/tracks/4sAC0qvCUH15Md7hz7QFb7,https://api.spotify.com/v1/audio-analysis/4sAC0qvCUH15Md7hz7QFb7,189500,4,JPVI09810950
0.716,0.66,9,-8.192,1,0.0738,0.00751,0.412,0.334,0.742,160.103,audio_features,36wkLZs1Cjk1wx0jLByYpe,spotify:track:36wkLZs1Cjk1wx0jLByYpe,https://api.spotify.com/v1/tracks/36wkLZs1Cjk1wx0jLByYpe,https://api.spotify.com/v1/audio-analysis/36wkLZs1Cjk1wx0jLByYpe,224900,4,JPVI09810960
0.464,0.725,4,-9.934,0,0.101,9.81e-06,0.794,0.029,0.763,160.001,audio_features,4qgw4QfoK7FWpwqzVMZj5Q,spotify:track:4qgw4QfoK7FWpwqzVMZj5Q,https://api.spotify.com/v1/tracks/4qgw4QfoK7FWpwqzVMZj5Q,https://api.spotify.com/v1/audio-analysis/4qgw4QfoK7FWpwqzVMZj5Q,167307,4,JPVI09823620
0.513,0.685,10,-10.809,1,0.0747,0.152,0.46,0.0855,0.37,158.072,audio_features,5rCjxDHLkq7o13PgSdbet0,spotify:track:5rCjxDHLkq7o13PgSdbet0,https://api.spotify.com/v1/tracks/5rCjxDHLkq7o13PgSdbet0,https://api.spotify.com/v1/audio-analysis/5rCjxDHLkq7o13PgSdbet0,277300,4,JPVI09811010
0.713,0.885,2,-10.118,1,0.0469,0.0831,0.664,0.0572,0.965,160.946,audio_features,0jPVSwMrU8VRh5FLA4o6Qu,spotify:track:0jPVSwMrU8VRh5FLA4o6Qu,https://api.spotify.com/v1/tracks/0jPVSwMrU8VRh5FLA4o6Qu,https://api.spotify.com/v1/audio-analysis/0jPVSwMrU8VRh5FLA4o6Qu,226533,4,JPVI09811030
0.427,0.934,11,-6.309,0,0.0826,0.000352,0.844,0.272,0.394,153.132,audio_features,0EPBewiNaDGS2Fp59x149v,spotify:track:0EPBewiNaDGS2Fp59x149v,https://api.spotify.com/v1/tracks/0EPBewiNaDGS2Fp59x149v,https://api.spotify.com/v1/audio-analysis/0EPBewiNaDGS2Fp59x149v,279400,4,JPVI09823590
0.201,0.477,9,-9.813,1,0.0384,0.196,0.774,0.336,0.149,73.961,audio_features,3gaN0XoTqKefY2bz7vpFnh,spotify:track:3gaN0XoTqKefY2bz7vpFnh,https://api.spotify.com/v1/tracks/3gaN0XoTqKefY2bz7vpFnh,https://api.spotify.com/v1/audio-analysis/3gaN0XoTqKefY2bz7vpFnh,159800,4,JPVI09823700
