Unnamed: 0,ISRC,spotify_ID,artist,song_title
222,USIR29800091,2vUyTE6LO1h6vwwq54AJKz,Annette Funicello,"Tell Me, Who's the Girl?"
223,USIR29800091,0JT92E0kZHbg3dv8fs9U1A,Albert Ammons,Jammin' The Boogie
224,USIR29800091,7jcKO6K7ydJ4LB7EjInnSY,Hazel Dickens,I Can't Find Your Love Anymore
225,USIR29800091,1Lq7FyOGhERbyAyf0adljt,Al Jarreau,Grandma's Hands
226,USIR29800091,3dSP5jhMdZrxl0IUHlGluy,Brad Mehldau,Sehnsucht
227,USIR29800091,7wdkn30X4YSW6jZLWRjisO,B*Witched,C'est La Vie - Dog In The River Mix
228,USIR29800091,34at4hnqlvBbFvsSN66T0x,Shanice,Doin' My Thang
229,USIR29800091,7zHwNPjvrCQccKyiEVG2mJ,WC,Can't Hold Back
230,USIR29800091,54gd0uLX9CwLVpIxxrFNpr,Lucero,The Blue and the Gray
231,USIR29800091,7a4TpfYyKDIASkVUaVTiU0,Talvin Singh,Jamming In London
232,USIR29800091,2102IIuDs7yKEHVr0WXgud,Winterpills,Pills for Sara
233,USIR29800091,1rYdwXXSrUeKW8fTF6H85J,Canned Heat,Amphetamine Annie - Remastered
234,USIR29800091,3LbpmYD06fxsLV2shz3Rqk,DJ Blass,Sabanas Blanca
235,USIR29800091,0j1pCFG3xQWRNxaGvzGbyp,Audiovent,The Energy
236,USIR29800091,6hCUSkP31SrB0SPYvCflPn,Issa Bagayogo,Dambalou
237,USIR29800091,30lGa84OEfz5eIAcoRpj7k,Wolfgang Amadeus Mozart,"Die Entführung aus dem Serail, K.384 / Act 3: ""Ich baue ganz auf deine Stärke"""
238,USIR29800091,1fSKPEZ2FiyTuAIH6rSR30,Frédéric Chopin,"Chopin / Arr. Heifetz for Violin and Piano: Nocturne No. 16 in E-Flat Major, Op. 55 No. 2"
239,USIR29800091,2zUeVaYOmCFTg7hcVhcHr0,Jaime Jamgochian,Love Rains Down
240,USIR29800091,3ckI5qr1M5JFDj1KyB9z7j,Amy Rigby,Til The Wheels Fall Off
241,USIR29800091,1x6WoHESGcYnToOxRna1Xq,Aaron Copland,Music for Movies: 3. Sunday Traffic
242,USIR29800091,6iXQrhhgBisdfvS34EMTZ3,Barry Manilow,Mandy
243,USIR29800091,6ucG7pQcYYcgO9d1bHzsmn,Critters Buggin,Hairy Partched
244,USIR29800091,1qHOe73On2RGVI5Zss7b3p,The Jackson 5,Goin' Back To Indiana
245,USIR29800091,5gZR2gQcVsQYPZpbOBwtmk,Art Blakey,Moose The Mooche
246,USIR29800091,1myHJbXfY7BxAv9xdtFiJw,Robert Johnson,Kind Hearted Woman Blues - Take 2
247,USIR29800091,0goLunjUlJm2FCkty0OWG6,Kanser,Sins of the Father :2003
248,USIR29800091,02nH7HXbs3i9kdWef9or8E,Lost Boyz,"Jeeps, Lex Coups, Bimaz & Benz"
249,USIR29800091,6T2QCAFNrCOuLOJmF8H1dU,The Aquabats!,Fashion Zombies!
250,USIR29800091,4CnhLhfsCtIwzBKvfJ2c1Z,C Average,Strider '88
251,USIR29800091,7jZUx6tZMNYNh1qGxCI9Mr,Belle and Sebastian,Put The Book Back On The Shelf
252,USIR29800091,5dtTD2LIqWk1GsB8y0zDur,Phoenix,Honeymoon
253,USIR29800091,1InkEzGd1aoK5bB8xrDtvO,Echoboy,Automatic Eyes
254,USIR29800091,4O7oKy8YADaBrbehcPl0kE,JAY-Z,U Don't Know
255,USIR29800091,4JDArRn6DNJgw63xpu7FoA,Don Cherry,Terrestrial Beings
256,USIR29800091,2dk9YJ9TXE0pmgYWHr0weP,Neurosis,Zero
257,USIR29800091,01FOQYIOQkLRGWOxQ1b365,Leroy Anderson,Sleigh Ride
258,USIR29800091,6JJAuXFfyv2Wuf9XaSD1bg,Lila Downs,Sale Sobrando
259,USIR29800091,6x3IQ8s06bN63dMFLGZBDP,Maurice Ravel,"Ravel: Daphnis et Chloé, M. 57, Pt. 3: Pantomime"
260,USIR29800091,1ibeKVCiXORhvUpMmtsQWq,Sum 41,Pieces
261,USIR29800091,576sPsZUKCZYuiYqz2GtqQ,Vitamin C,Unhappy Anniversary
262,USIR29800091,7kgp94Ur9i8kjICRaeJXKe,Ramones,Teenage Lobotomy
263,USIR29800091,3qSuAZgvf3GHyiSJJCwhDw,Edward Elgar,"Elgar: Serenade for Strings, Op. 20: I. Allegro piacevole"
264,USIR29800091,4m252lDFRfnnuhmguk41zD,David Holt,Leave A Message
265,USIR29800091,5FlBGGwGuqYmqr0qeBWrxe,The Doors,Five to One
266,USIR29800091,6WLxv3COJSy8PCQLzZpNQC,Mötley Crüe,Public Enemy #1
267,USIR29800091,3dYS1w4w3Lqol3icrp7hjX,Wayne Shorter,Juju
268,USIR29800091,7wE0MkXKVhcBNBo3NcZHKy,Dr. John,I Been Hoodood
269,USIR29800091,4rVv2uMSDh6C7tJv0C8KcC,Destiny's End,Under Destruction's Thumb
